variance,skewness,kurtosis,entropy,class
8793.311656,1.156072143,-0.15194748,11.18542599,1
9007.481457,1.141077339,-0.119871049,11.18626422,1
18825.02731,0.587132133,-1.035489386,11.06319417,1
9615.1552,0.954057201,-0.511422454,11.13833353,1
8199.223249,1.111023448,-0.138464895,11.14033732,1
11784.45187,1.366966855,0.806755166,11.13592287,1
9350.742086,0.93893784,-0.618714098,11.15021863,1
8024.954853,1.32751433,0.319041173,11.14669815,1
8833.312028,1.055003903,-0.347939597,11.12803833,1
8683.543785,1.188504437,-0.029006632,11.14813383,1
8262.311245,1.3131474,0.290191449,11.13830323,1
7456.198411,1.455525932,0.730517198,11.13154618,1
6924.361007,1.447522094,0.716676774,11.13031257,1
16606.13207,0.946954782,-0.309322222,11.04645132,1
6946.296197,1.381181793,0.478957048,11.14853324,1
7075.162141,1.362315824,0.428072259,11.14460004,1
15671.88883,0.417895861,-0.81193502,11.08093365,1
14854.75999,0.595154968,-0.56300677,11.07009336,1
14044.53307,0.449728154,-0.55886538,11.08885278,1
14093.00839,0.116748835,-1.201502407,11.11983796,1
6945.312107,0.28703723,-0.776764197,11.19975338,1
6542.766659,0.471516291,-0.618529137,11.1961473,1
4912.735919,0.254486789,-0.230637633,11.20893399,1
4656.673235,0.041292136,-0.750354893,11.2045264,1
5713.625788,0.319399955,-0.424101001,11.20737189,1
5269.326395,0.033892898,-0.423106546,11.21155574,1
6378.501621,0.321576836,-0.476757785,11.20466804,1
14810.15375,0.326373638,-0.909559744,11.08932842,1
7209.579028,0.366408203,-0.550982438,11.19836477,1
7120.999104,0.390821093,-0.033867594,11.19197866,1
6159.791598,0.405951839,-0.019684834,11.19309101,1
8007.91213,0.51016865,-0.166823389,11.18695812,1
5335.132612,0.023294867,-0.362851239,11.21574631,1
6508.74224,0.116682107,-0.29879887,11.1933682,1
4795.412182,0.496923973,0.192191059,11.21412995,1
5212.85723,0.361131202,-0.15155707,11.21501796,1
5757.807247,0.143369171,-0.349046434,11.21198499,1
5052.449173,0.178797554,0.072668365,11.21400548,1
12726.40357,0.187414952,-0.96739404,11.1213203,1
6295.16775,0.527082133,0.642811576,11.19256166,1
5545.125168,0.624744888,0.151997377,11.21094358,1
5913.977625,0.258081295,-0.377901319,11.21461012,1
7010.794632,-0.262407876,-0.117817129,11.19997518,1
5878.072217,0.063854433,-0.322652628,11.19147194,1
5869.393314,-0.789783589,-0.160619393,11.22347566,1
6463.06807,-0.450633766,-0.643271234,11.21783689,1
6465.465363,-0.254195031,-0.813187061,11.21598878,1
6954.951314,-0.200142915,-0.790341347,11.21216921,1
